pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,q_w,q_x,q_y,q_z,wx,wy,wz
6.77126e+06,-3481.02,28187.9,-32.2119,-940.81,7618.31,0.999994,0.00333296,2.80758e-05,-1.81602e-05,0.00331484,2.27697e-05,-1.65441e-05
6.77126e+06,-3575.1,28949.8,-33.0825,-940.81,7618.31,0.999994,0.0035004,2.92161e-05,-1.89939e-05,0.00338243,2.28508e-05,-1.67658e-05
6.77126e+06,-3669.18,29711.6,-33.9531,-940.809,7618.3,0.999993,0.00367119,3.036e-05,-1.98385e-05,0.00344906,2.29127e-05,-1.69785e-05
6.77125e+06,-3763.26,30473.4,-34.8237,-940.809,7618.3,0.999993,0.00384528,3.15064e-05,-2.06936e-05,0.00351474,2.2956e-05,-1.71825e-05
6.77125e+06,-3857.34,31235.2,-35.6943,-940.808,7618.3,0.999992,0.00402264,3.26546e-05,-2.15588e-05,0.00357949,2.29813e-05,-1.7378e-05
6.77125e+06,-3951.42,31997.1,-36.5648,-940.808,7618.29,0.999991,0.00420322,3.38035e-05,-2.24337e-05,0.00364331,2.29891e-05,-1.75651e-05
6.77124e+06,-4045.5,32758.9,-37.4354,-940.807,7618.29,0.99999,0.00438696,3.49524e-05,-2.33178e-05,0.00370622,2.29798e-05,-1.77441e-05
6.77124e+06,-4139.58,33520.7,-38.306,-940.807,7618.28,0.99999,0.00457382,3.61004e-05,-2.42108e-05,0.00376823,2.29541e-05,-1.7915e-05
6.77123e+06,-4233.67,34282.6,-39.1766,-940.806,7618.28,0.999989,0.00476376,3.72466e-05,-2.51123e-05,0.00382935,2.29124e-05,-1.80782e-05
6.77123e+06,-4327.75,35044.4,-40.0472,-940.806,7618.27,0.999988,0.00495674,3.83903e-05,-2.60219e-05,0.0038896,2.28551e-05,-1.82337e-05
6.77123e+06,-4421.83,35806.2,-40.9178,-940.805,7618.27,0.999987,0.0051527,3.95307e-05,-2.69391e-05,0.00394899,2.27828e-05,-1.83817e-05
6.77122e+06,-4515.91,36568,-41.7883,-940.805,7618.27,0.999986,0.00535161,4.06671e-05,-2.78638e-05,0.00400752,2.26959e-05,-1.85224e-05
6.77122e+06,-4609.99,37329.9,-42.6589,-940.804,7618.26,0.999985,0.00555343,4.17988e-05,-2.87954e-05,0.00406522,2.25948e-05,-1.8656e-05
6.77121e+06,-4704.07,38091.7,-43.5295,-940.803,7618.26,0.999983,0.00575812,4.2925e-05,-2.97337e-05,0.00412209,2.24801e-05,-1.87825e-05
6.77121e+06,-4798.15,38853.5,-44.4001,-940.803,7618.25,0.999982,0.00596562,4.40451e-05,-3.06782e-05,0.00417814,2.2352e-05,-1.89022e-05
6.7712e+06,-4892.23,39615.3,-45.2707,-940.802,7618.25,0.999981,0.00617591,4.51584e-05,-3.16288e-05,0.00423338,2.22111e-05,-1.90153e-05
