a,e,i,RAAN,argp,nu
6.77811e+06,0.00100141,1.69367,0,0.0141957,6.27885
6.77811e+06,0.00100142,1.69367,0,0.0143587,6.2788
6.77811e+06,0.00100143,1.69367,0,0.0145217,6.27875
6.77811e+06,0.00100145,1.69367,0,0.0146847,6.2787
6.77811e+06,0.00100146,1.69367,0,0.0148477,6.27865
6.77811e+06,0.00100147,1.69367,0,0.0150107,6.2786
6.77811e+06,0.00100149,1.69367,0,0.0151737,6.27855
6.77811e+06,0.0010015,1.69367,0,0.0153367,6.2785
6.77811e+06,0.00100151,1.69367,0,0.0154997,6.27846
6.77811e+06,0.00100153,1.69367,0,0.0156627,6.27841
6.77811e+06,0.00100154,1.69367,0,0.0158256,6.27836
6.77811e+06,0.00100155,1.69367,0,0.0159886,6.27831
6.77811e+06,0.00100156,1.69367,0,0.0161516,6.27826
6.77811e+06,0.00100158,1.69367,0,0.0163145,6.27821
6.77811e+06,0.00100159,1.69367,0,0.0164775,6.27816
6.77812e+06,0.0010016,1.69367,0,0.0166404,6.27811
6.77812e+06,0.00100161,1.69367,0,0.0168034,6.27806
6.77812e+06,0.00100163,1.69367,0,0.0169663,6.27801
6.77812e+06,0.00100164,1.69367,0,0.0171293,6.27796
6.77812e+06,0.00100165,1.69367,0,0.0172922,6.27791
6.77812e+06,0.00100166,1.69367,0,0.0174552,6.27786
6.77812e+06,0.00100167,1.69367,0,0.0176181,6.27781
6.77812e+06,0.00100169,1.69367,0,0.017781,6.27776
6.77812e+06,0.0010017,1.69367,0,0.017944,6.27771
6.77812e+06,0.00100171,1.69367,0,0.0181069,6.27766
6.77812e+06,0.00100172,1.69367,0,0.0182698,6.27761
6.77812e+06,0.00100173,1.69367,0,0.0184327,6.27756
6.77812e+06,0.00100175,1.69367,0,0.0185956,6.27751
6.77812e+06,0.00100176,1.69367,0,0.0187585,6.27746
6.77812e+06,0.00100177,1.69367,0,0.0189214,6.27741
6.77812e+06,0.00100178,1.69367,0,0.0190843,6.27736
6.77812e+06,0.00100179,1.69367,0,0.0192472,6.27732
6.77812e+06,0.0010018,1.69367,0,0.0194101,6.27727
6.77812e+06,0.00100181,1.69367,0,0.019573,6.27722
6.77812e+06,0.00100182,1.69367,0,0.0197359,6.27717
6.77812e+06,0.00100184,1.69367,0,0.0198988,6.27712
6.77812e+06,0.00100185,1.69367,0,0.0200617,6.27707
6.77812e+06,0.00100186,1.69367,0,0.0202246,6.27702
6.77812e+06,0.00100187,1.69367,0,0.0203874,6.27697
